Write a short story about a lighthouse keeper who discovers a message in a bottle from the future.,Creative Writing
Describe a bustling marketplace in a fantasy world where people trade memories instead of coins.,Creative Writing
Write a poem about the feeling of the first snowfall of the year from the perspective of a mountain.,Creative Writing
Compose a dialogue between two astronauts who have just discovered an abandoned library on Mars.,Creative Writing
Draft a character description for a detective who can hear the secrets whispered by inanimate objects.,Creative Writing
"Write a Python function to check if a given string is a palindrome, ignoring spaces and capitalization.",Code Generation
"Create a basic HTML and CSS snippet for a responsive profile card with an image, name, and bio.",Code Generation
Write a SQL query to find the top 5 customers by total order value from a table named 'Orders'.,Code Generation
Implement a simple Javascript function that takes an array of numbers and returns only the even ones.,Code Generation
Write a C++ class for a 'Rectangle' with methods to calculate the area and perimeter.,Code Generation
"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",Logical/Mathematical
Solve for x: 3(x + 5) = 2x - 10. Show the steps of your reasoning.,Logical/Mathematical
A farmer has some chickens and cows. Together they have 35 heads and 94 feet. How many of each does he have?,Logical/Mathematical
"If today is Tuesday, what day of the week will it be in 1,000 days?",Logical/Mathematical
"Consider the sequence: 2, 6, 12, 20, 30... What is the next number in the sequence and why?",Logical/Mathematical
